| Country                      | Share of labor in agriculture | Share of labor in manufacturing | GDP per capita |
|                 Turkmenistan |                         20.68 |                       `missing` |          5,998 |
|                       Uganda |                         72.13 |                            3.81 |            822 |
|                      Ukraine |                         13.82 |                           13.22 |          3,620 |
|         United Arab Emirates |                          1.39 |                            9.22 |         45,939 |
|               United Kingdom |                          1.05 |                            8.88 |         43,159 |
|                United States |                          1.36 |                           10.42 |         64,746 |
|                      Uruguay |                          8.41 |                            10.3 |         18,316 |
|                   Uzbekistan |                         25.71 |                           11.91 |          2,041 |
|                      Vanuatu |                         56.78 |                            4.02 |          3,207 |
|                    Venezuela |                          7.86 |                       `missing` |          2,523 |
|                      Vietnam |                         37.22 |                           20.23 |          3,441 |
|                       Zambia |                         49.64 |                            4.43 |          1,259 |
|                     Zimbabwe |                         66.19 |                            4.41 |          2,184 |
